"filename", "language", "Properties", "Python", "C", "PowerShell", "Shell Script", "HTML", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\bin\activate.fish", "Shell Script", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 14, 14, 70
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\__init__.py", "Python", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 169
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\_exceptions.py", "Python", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 92
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\_mysql.c", "C", 0, 0, 2621, 0, 0, 0, 0, 0, 0, 0, 100, 239, 2960
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\connections.py", "Python", 0, 289, 0, 0, 0, 0, 0, 0, 0, 0, 11, 63, 363
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\CLIENT.py", "Python", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\CR.py", "Python", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 106
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\ER.py", "Python", 0, 822, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 828
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\FIELD_TYPE.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 41
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\FLAG.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\constants\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\converters.py", "Python", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35, 140
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\cursors.py", "Python", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96, 501
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\release.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\MySQLdb\times.py", "Python", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 151
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\AvifImagePlugin.py", "Python", 0, 221, 0, 0, 0, 0, 0, 0, 0, 0, 22, 50, 293
"c:\Users\Maxim\Downloads\ART-main\ART-main\venv\lib\python3.12\site-packages\PIL\BdfFontFile.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 123
